Period,Scenario,LoadLevel,P_Coal_Hardcoal,P_Oil,RES_Hydro_Large
2022,sc01,01-03 21:00:00+01:00,3.06327007710408e-05,0.0003486699106655701,0.0
2022,sc01,01-03 22:00:00+01:00,3.06327007710408e-05,0.0002895160053932066,0.0
2022,sc01,01-03 23:00:00+01:00,3.06327007710408e-05,0.0002490417181142389,0.0
2022,sc01,01-04 00:00:00+01:00,3.06327007710408e-05,0.00022356014402745607,0.0
2022,sc01,01-04 01:00:00+01:00,3.06327007710408e-05,0.0002067795946779573,0.0
2022,sc01,01-04 02:00:00+01:00,3.06327007710408e-05,0.00019716196556167204,0.0
2022,sc01,01-04 03:00:00+01:00,3.06327007710408e-05,0.00018736382342524584,0.0
2022,sc01,01-04 04:00:00+01:00,3.06327007710408e-05,0.00019934169547454478,0.0
2022,sc01,01-04 05:00:00+01:00,3.06327007710408e-05,0.0002393722816582139,0.0
2022,sc01,01-04 06:00:00+01:00,3.06327007710408e-05,0.00029355385924076887,0.0
2022,sc01,01-04 07:00:00+01:00,3.06327007710408e-05,0.00033798656494684264,0.0
2022,sc01,01-04 08:00:00+01:00,3.06327007710408e-05,0.00035726867025417524,0.0
2022,sc01,01-04 09:00:00+01:00,3.06327007710408e-05,0.00031993894952937713,0.0
2022,sc01,01-04 10:00:00+01:00,3.06327007710408e-05,0.0002789409386389293,0.0
2022,sc01,01-04 11:00:00+01:00,3.06327007710408e-05,0.0002656177358789617,0.0
2022,sc01,01-04 12:00:00+01:00,3.06327007710408e-05,0.0002714154222006911,0.0
2022,sc01,01-04 13:00:00+01:00,3.06327007710408e-05,0.00025858869442460584,0.0
2022,sc01,01-04 14:00:00+01:00,3.06327007710408e-05,0.0002528910127333222,0.0
2022,sc01,01-04 15:00:00+01:00,3.06327007710408e-05,0.00025343615919172805,0.0
2022,sc01,01-04 16:00:00+01:00,3.06327007710408e-05,0.000286202740537241,0.0
2022,sc01,01-04 17:00:00+01:00,3.06327007710408e-05,0.00034397157801921,0.0
2022,sc01,01-04 18:00:00+01:00,3.06327007710408e-05,0.0004031053560929376,0.0
2022,sc01,01-04 19:00:00+01:00,3.06327007710408e-05,0.00042021703527423017,0.0
2022,sc01,01-04 20:00:00+01:00,3.06327007710408e-05,0.00039382543737006827,0.0
2022,sc01,01-04 21:00:00+01:00,3.06327007710408e-05,0.0003556346115003257,0.0
2022,sc01,01-04 22:00:00+01:00,3.06327007710408e-05,0.00029860391842514804,0.0
2022,sc01,01-04 23:00:00+01:00,3.06327007710408e-05,0.00025609997474714956,0.0
2022,sc01,01-05 00:00:00+01:00,3.06327007710408e-05,0.00022938319991093286,0.0
2022,sc01,01-05 01:00:00+01:00,3.06327007710408e-05,0.00021258894071294506,0.0
2022,sc01,01-05 02:00:00+01:00,3.06327007710408e-05,0.000203330052647158,0.0
2022,sc01,01-05 03:00:00+01:00,3.06327007710408e-05,0.00019467211297368044,0.0
2022,sc01,01-05 04:00:00+01:00,3.06327007710408e-05,0.00020956561294505988,0.0
2022,sc01,01-05 05:00:00+01:00,3.06327007710408e-05,0.00025749451183917324,0.0
2022,sc01,01-05 06:00:00+01:00,3.06327007710408e-05,0.00031941414807300033,0.0
2022,sc01,01-05 07:00:00+01:00,3.06327007710408e-05,0.00037043704792637954,0.0
2022,sc01,01-05 08:00:00+01:00,3.06327007710408e-05,0.00039095191496880765,0.0
2022,sc01,01-05 09:00:00+01:00,3.06327007710408e-05,0.00036012675366709005,0.0
2022,sc01,01-05 10:00:00+01:00,3.06327007710408e-05,0.0003319534708218223,0.0
2022,sc01,01-05 11:00:00+01:00,3.06327007710408e-05,0.0003246544362810874,0.0
2022,sc01,01-05 12:00:00+01:00,3.06327007710408e-05,0.0003280100590668631,0.0
2022,sc01,01-05 13:00:00+01:00,3.06327007710408e-05,0.0003050290459853526,0.0
2022,sc01,01-05 14:00:00+01:00,3.06327007710408e-05,0.00029233336056411376,0.0
2022,sc01,01-05 15:00:00+01:00,3.06327007710408e-05,0.0002836690067971764,0.0
2022,sc01,01-05 16:00:00+01:00,3.06327007710408e-05,0.00031340123933376645,0.0
2022,sc01,01-05 17:00:00+01:00,3.06327007710408e-05,0.0003562858333339797,0.0
2022,sc01,01-05 18:00:00+01:00,3.06327007710408e-05,0.00039424629504177677,0.0
2022,sc01,01-05 19:00:00+01:00,3.06327007710408e-05,0.0003882944384483739,0.0
2022,sc01,01-05 20:00:00+01:00,3.06327007710408e-05,0.00036102653813228783,0.0
2022,sc01,01-05 21:00:00+01:00,3.06327007710408e-05,0.00032786364218817396,0.0
2022,sc01,01-05 22:00:00+01:00,3.06327007710408e-05,0.00027039791577416605,0.0
2022,sc01,01-05 23:00:00+01:00,3.06327007710408e-05,0.00023297637764929378,0.0
2022,sc01,01-06 00:00:00+01:00,3.06327007710408e-05,0.00021073288058817065,0.0
2022,sc01,01-06 01:00:00+01:00,3.06327007710408e-05,0.00019963277874251412,0.0
2022,sc01,01-06 02:00:00+01:00,3.06327007710408e-05,0.00019559734320780383,0.0
2022,sc01,01-06 03:00:00+01:00,3.06327007710408e-05,0.00018982989672839393,0.0
2022,sc01,01-06 04:00:00+01:00,3.06327007710408e-05,0.00020362432379617083,0.0
2022,sc01,01-06 05:00:00+01:00,3.06327007710408e-05,0.000244974153539835,0.0
2022,sc01,01-06 06:00:00+01:00,3.06327007710408e-05,0.00030393563411094075,0.0
2022,sc01,01-06 07:00:00+01:00,3.06327007710408e-05,0.000350639721889124,0.0
2022,sc01,01-06 08:00:00+01:00,3.06327007710408e-05,0.0003700168200667703,0.0
2022,sc01,01-06 09:00:00+01:00,3.06327007710408e-05,0.00033160223429091443,0.0
