Period,Scenario,LoadLevel,Centrale_Kael_Solaire,Centrale_Kahone_Solaire,Felou_Gouina,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Kahone,PV_Malicounda,PV_Sakal,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,Solar_CICAD,Solar_DIASS
2022,sc01,06-17 09:00:00+01:00,2.4774485026239916e-06,2.8435888491261146e-06,3.3961695540483098e-06,6.788324009851088e-05,2.1144227259777837e-06,1.706153309312409e-06,4.9155143901071265e-06,8.192523984872375e-07,1.2288786005878988e-06,1.2083972868707476e-06,9.776117858720068e-08,9.421402563012081e-07
2022,sc01,06-17 10:00:00+01:00,4.510728345862149e-06,4.969571076280591e-06,3.3961695540483098e-06,4.859016527583117e-05,3.635746133401034e-06,2.981742646584653e-06,9.196998660455192e-06,1.5328331107561133e-06,2.299249671236032e-06,2.26092883678369e-06,1.8285141705229952e-07,1.7627580737982273e-06
2022,sc01,06-17 11:00:00+01:00,5.937016047599966e-06,6.696654313358802e-06,3.3961695540483098e-06,5.665358468233364e-05,4.902660363758664e-06,4.017992587198983e-06,1.2450855467930522e-05,2.075142578668669e-06,3.112713875349684e-06,3.060835301699616e-06,2.5390615227383876e-07,2.386413960571182e-06
2022,sc01,06-17 12:00:00+01:00,7.160781250127552e-06,7.866706580911858e-06,3.3961695540483098e-06,6.868420641561158e-05,5.791922920256681e-06,4.720023950179712e-06,1.4953730909853787e-05,2.492288485791929e-06,3.7384327378712447e-06,3.6761255147778514e-06,3.0317661665753796e-07,2.866131752926226e-06
2022,sc01,06-17 13:00:00+01:00,7.631415917645345e-06,8.402173119637439e-06,3.3961695540483098e-06,7.7570094600761e-05,6.141597719426996e-06,5.041303872598762e-06,1.5795542434020695e-05,2.6325904062143143e-06,3.948885618708897e-06,3.8830708473090365e-06,3.2510709052661845e-07,3.027478961146672e-06
2022,sc01,06-17 14:00:00+01:00,7.668238188373801e-06,8.350791482421439e-06,3.3961695540483098e-06,8.083309163841602e-05,6.246719645759378e-06,5.010474889452863e-06,1.6306091027008857e-05,2.717681838923207e-06,4.076522768180385e-06,4.0085807102281345e-06,3.362185306964738e-07,3.125334108680269e-06
2022,sc01,06-17 15:00:00+01:00,7.16308264281336e-06,7.835260248007627e-06,3.3961695540483098e-06,8.886963298431165e-05,5.777048299529082e-06,4.70115614717198e-06,1.5355639516327194e-05,2.559273253265397e-06,3.838909888877374e-06,3.7749280466073463e-06,3.178456670500548e-07,2.943164235459492e-06
2022,sc01,06-17 16:00:00+01:00,6.195922649245786e-06,6.744949193620148e-06,3.3961695540483098e-06,0.00010302899743111065,5.064024556689034e-06,4.04696951535579e-06,1.333184862898691e-05,2.221974771905967e-06,3.332962165817855e-06,3.2774127867348356e-06,2.76031563381857e-07,2.5552709823247036e-06
2022,sc01,06-17 17:00:00+01:00,4.782867952390246e-06,5.050362644413302e-06,3.3961695540483098e-06,0.00011808608925564254,3.871952315143227e-06,3.0302175878724276e-06,1.0273306341083546e-05,1.7122177237860236e-06,2.5683265922094183e-06,2.525521141298715e-06,2.1272559575459816e-07,1.9690503786397717e-06
2022,sc01,06-17 18:00:00+01:00,2.9078088087520214e-06,3.0257074931247333e-06,3.3961695540483098e-06,0.00011915583622778966,2.311198526500704e-06,1.8154244961197295e-06,6.326053301802472e-06,1.0543422169670787e-06,1.581513329328033e-06,1.5551547692611617e-06,1.3007207665363594e-07,1.2124935471652841e-06
