Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Contour_Global,Diesel_Bel_Air,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,Malicounda_Power,Manantali,Secondary_Plants,Tobene_Power
2022,sc01,01-05 02:00:00+01:00,177.725446815,21.477038694003234,192.56173973011332,29.6738022825,266.0,5.685297673613469,,200.0,0.5135926839430726,31.542333660289522
2022,sc01,01-05 03:00:00+01:00,131.62569533606148,68.4,193.8465294059678,29.6738022825,266.0,7.036148546463783,,200.0,0.7178331249670152,40.35544652891228
2022,sc01,01-05 04:00:00+01:00,177.725446815,19.007409096460663,265.79475307000007,29.6738022825,188.91261745093234,1.6296396279159366,,200.0,,33.45005969992656
2022,sc01,01-05 05:00:00+01:00,177.725446815,,176.4659101097763,26.93620438868872,266.0,,,200.0,,
2022,sc01,01-05 06:00:00+01:00,34.058987644272705,68.4,265.79475307000007,29.6738022825,159.9730170999686,,,200.0,,
2022,sc01,01-05 07:00:00+01:00,39.405517942306204,,265.79475307000007,29.6738022825,149.50182444593892,,,200.0,,
2022,sc01,01-05 08:00:00+01:00,15.412203129785556,,265.79475307000007,29.6738022825,143.932949008452,,,200.0,,
2022,sc01,01-05 09:00:00+01:00,,54.932573664085574,265.79475307000007,29.6738022825,148.83203686030248,,,200.0,,
2022,sc01,01-05 10:00:00+01:00,22.08070341926466,68.4,265.79475307000007,29.6738022825,153.8819741419012,,,200.0,,
2022,sc01,01-05 11:00:00+01:00,35.82199487166063,68.4,265.79475307000007,29.6738022825,150.658686403023,,,200.0,,
2022,sc01,01-05 12:00:00+01:00,34.89652047242736,68.4,146.5434177905512,29.6738022825,266.0,,,200.0,,
2022,sc01,01-05 13:00:00+01:00,65.34010528376744,68.4,149.21577174929823,29.6738022825,266.0,,,200.0,,
2022,sc01,01-05 14:00:00+01:00,78.94155462078132,68.4,153.90897024015976,29.6738022825,266.0,,,200.0,,
2022,sc01,01-05 15:00:00+01:00,177.725446815,8.201860370026875,265.79475307000007,,157.6877133659292,,,200.0,,
2022,sc01,01-05 16:00:00+01:00,47.25860088509068,68.4,265.79475307000007,29.6738022825,155.43808356375402,,,200.0,,
2022,sc01,01-05 17:00:00+01:00,22.0079381432777,68.4,265.79475307000007,,148.56529082340802,,,200.0,,
2022,sc01,01-05 18:00:00+01:00,,10.471267356459208,143.92139331582638,29.6738022825,266.0,,,200.0,,
2022,sc01,01-05 19:00:00+01:00,,16.667906607098917,265.79475307000007,29.6738022825,146.50670376352747,,,200.0,,
2022,sc01,01-05 20:00:00+01:00,,49.444708315333095,152.81805416098948,29.6738022825,266.0,,,200.0,,
2022,sc01,01-05 21:00:00+01:00,21.341613427820675,68.4,160.30931346182896,29.6738022825,266.0,,,200.0,,
2022,sc01,01-05 22:00:00+01:00,177.725446815,14.397896566836973,170.41024502358798,,266.0,,,200.0,,
2022,sc01,01-05 23:00:00+01:00,124.68586940466243,68.4,265.79475307000007,29.6738022825,182.48866889004202,,,200.0,,11.415417947215595
2022,sc01,01-06 00:00:00+01:00,128.33285591146065,68.4,188.7073705209324,29.6738022825,266.0,1.5978373062613473,,200.0,,31.79981416492422
