Period,Scenario,LoadLevel,MW
2022,sc01,01-18 14:00:00+01:00,351.8320672173198
2022,sc01,01-18 15:00:00+01:00,347.3523247506837
2022,sc01,01-18 16:00:00+01:00,386.66231430754897
2022,sc01,01-18 17:00:00+01:00,456.1654415381284
2022,sc01,01-18 18:00:00+01:00,525.7644312605805
2022,sc01,01-18 19:00:00+01:00,543.5010834140085
2022,sc01,01-18 20:00:00+01:00,508.16309069149247
2022,sc01,01-18 21:00:00+01:00,451.9182086432253
2022,sc01,01-18 22:00:00+01:00,359.9049150763222
2022,sc01,01-18 23:00:00+01:00,305.33282973523876
2022,sc01,01-19 00:00:00+01:00,274.76111477524586
2022,sc01,01-19 01:00:00+01:00,264.22203071234065
2022,sc01,01-19 02:00:00+01:00,264.8414443370474
2022,sc01,01-19 03:00:00+01:00,264.11415246175426
2022,sc01,01-19 04:00:00+01:00,294.50730777524586
2022,sc01,01-19 05:00:00+01:00,362.27660889016295
2022,sc01,01-19 06:00:00+01:00,443.73060164322527
2022,sc01,01-19 07:00:00+01:00,509.72428648167
2022,sc01,01-19 08:00:00+01:00,537.7796015224342
2022,sc01,01-19 09:00:00+01:00,482.67910287867
2022,sc01,01-19 10:00:00+01:00,420.099877371677
2022,sc01,01-19 11:00:00+01:00,395.86052297926307
2022,sc01,01-19 12:00:00+01:00,395.06146047212843
2022,sc01,01-19 13:00:00+01:00,370.8083590012631
2022,sc01,01-19 14:00:00+01:00,351.5363134573198
2022,sc01,01-19 15:00:00+01:00,346.5431118436837
2022,sc01,01-19 16:00:00+01:00,386.068758714549
2022,sc01,01-19 17:00:00+01:00,455.5080567201284
2022,sc01,01-19 18:00:00+01:00,519.7307345855805
2022,sc01,01-19 19:00:00+01:00,532.3472855310084
2022,sc01,01-19 20:00:00+01:00,495.85634289149243
2022,sc01,01-19 21:00:00+01:00,441.6759702132253
2022,sc01,01-19 22:00:00+01:00,358.2038846363222
2022,sc01,01-19 23:00:00+01:00,306.98374609523876
2022,sc01,01-20 00:00:00+01:00,275.89072972124586
2022,sc01,01-20 01:00:00+01:00,263.8699403583406
2022,sc01,01-20 02:00:00+01:00,259.9948477830474
2022,sc01,01-20 03:00:00+01:00,256.28768190775423
2022,sc01,01-20 04:00:00+01:00,285.14644902124587
2022,sc01,01-20 05:00:00+01:00,355.0955033361629
2022,sc01,01-20 06:00:00+01:00,440.11546685922525
2022,sc01,01-20 07:00:00+01:00,509.52365930766996
2022,sc01,01-20 08:00:00+01:00,543.7461611684341
2022,sc01,01-20 09:00:00+01:00,496.06611554267
2022,sc01,01-20 10:00:00+01:00,439.935703210677
2022,sc01,01-20 11:00:00+01:00,418.1236417192631
2022,sc01,01-20 12:00:00+01:00,419.2465484801284
2022,sc01,01-20 13:00:00+01:00,393.4703716752631
2022,sc01,01-20 14:00:00+01:00,376.0130033843198
2022,sc01,01-20 15:00:00+01:00,372.9450279216837
2022,sc01,01-20 16:00:00+01:00,416.078949185549
2022,sc01,01-20 17:00:00+01:00,486.4683918391284
2022,sc01,01-20 18:00:00+01:00,553.1132480665805
2022,sc01,01-20 19:00:00+01:00,569.7767137270084
2022,sc01,01-20 20:00:00+01:00,534.0944444774924
2022,sc01,01-20 21:00:00+01:00,479.43992614922524
2022,sc01,01-20 22:00:00+01:00,406.40892406232217
2022,sc01,01-20 23:00:00+01:00,353.1802516312388
2022,sc01,01-21 00:00:00+01:00,321.83028739724585
