Region,Sector,Technology,Type,PathwayScenario,Year,Value
MTKK,Power,RES_Hydro_Small,ResidualCapacity,BAU_BAU,2025,0.2
Dakar,Power,P_Oil,ResidualCapacity,BAU_BAU,2025,0.5064999999999998
Thies,Power,P_Oil,ResidualCapacity,BAU_BAU,2025,0.09999999999999998
ZS,Power,P_Oil,ResidualCapacity,BAU_BAU,2025,0.012
MTKK,Power,P_Oil,ResidualCapacity,BAU_BAU,2025,0.01387
Dakar,Power,P_Coal_Hardcoal,ResidualCapacity,BAU_BAU,2025,0.125
Thies,Power,P_Coal_Hardcoal,ResidualCapacity,BAU_BAU,2025,0.02
MTKK,Power,RES_Hydro_Large,ResidualCapacity,BAU_BAU,2025,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2025,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2025,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2025,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2025,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2025,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,BAU_BAU,2025,0.1587
MTKK,Power,RES_Hydro_Small,ResidualCapacity,BAU_BAU,2030,0.2
Dakar,Power,P_Oil,ResidualCapacity,BAU_BAU,2030,0.5064999999999998
Thies,Power,P_Oil,ResidualCapacity,BAU_BAU,2030,0.09999999999999998
ZS,Power,P_Oil,ResidualCapacity,BAU_BAU,2030,0.012
MTKK,Power,P_Oil,ResidualCapacity,BAU_BAU,2030,0.01387
MTKK,Power,RES_Hydro_Large,ResidualCapacity,BAU_BAU,2030,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2030,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2030,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2030,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2030,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2030,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,BAU_BAU,2030,0.1587
MTKK,Power,RES_Hydro_Small,ResidualCapacity,BAU_BAU,2035,0.2
Dakar,Power,P_Oil,ResidualCapacity,BAU_BAU,2035,0.5064999999999998
MTKK,Power,RES_Hydro_Large,ResidualCapacity,BAU_BAU,2035,0.2
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2035,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2035,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2035,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2035,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2035,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,BAU_BAU,2035,0.1587
MTKK,Power,RES_Hydro_Small,ResidualCapacity,BAU_BAU,2040,0.2
Thies,Power,P_Oil,ResidualCapacity,BAU_BAU,2040,0.1
ZS,Power,P_Oil,ResidualCapacity,BAU_BAU,2040,0.02
Thies,Power,P_Coal_Hardcoal,ResidualCapacity,BAU_BAU,2040,0.02
MTKK,Power,RES_Hydro_Large,ResidualCapacity,BAU_BAU,2040,0.2
