Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,Diourbel,Power,2045,0.8812457260405699
Final Energy Demand [TWh],Industry,Diourbel,Power,2050,1.4863610913406238
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2025,0.04532716049166759
Final Energy Demand [TWh],Industry,Diourbel,Gas_Bio,2030,0.07500000000000012
Final Energy Demand [TWh],Industry,Thies,Oil,2022,0.3530744280833319
Final Energy Demand [TWh],Industry,Thies,Oil,2025,0.3518943542499992
Final Energy Demand [TWh],Industry,Thies,Oil,2030,0.005296174061079468
Final Energy Demand [TWh],Industry,Thies,Oil,2035,0.007766711330120445
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2025,7.187414839217712e-5
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2030,0.44655949684676943
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2035,1.084013917188394
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2040,1.855249788900077
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2045,2.725559841288462
Final Energy Demand [TWh],Industry,Thies,Gas_Natural,2050,4.003736890742803
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2022,1.8616436028381977
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2025,2.7517212249644056
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2030,3.6619042063959
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2035,4.794526301414525
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2040,6.542291302743373
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2045,9.3964302428314
Final Energy Demand [TWh],Industry,Thies,Hardcoal,2050,13.571165170478032
Final Energy Demand [TWh],Industry,Thies,Biomass,2022,0.19782632600694394
Final Energy Demand [TWh],Industry,Thies,Biomass,2025,0.2330970229411112
Final Energy Demand [TWh],Industry,Thies,Biomass,2030,0.23843438457781926
Final Energy Demand [TWh],Industry,Thies,Biomass,2035,0.31993203590165953
Final Energy Demand [TWh],Industry,Thies,Biomass,2040,0.3271956373216356
Final Energy Demand [TWh],Industry,Thies,Biomass,2045,0.293942829141989
Final Energy Demand [TWh],Industry,Thies,Biomass,2050,0.23063738166000547
Final Energy Demand [TWh],Industry,Thies,Power,2025,0.10556472718613644
Final Energy Demand [TWh],Industry,Thies,Power,2030,0.26188193928011855
Final Energy Demand [TWh],Industry,Thies,Power,2035,0.3966124853304526
Final Energy Demand [TWh],Industry,Thies,Power,2040,0.6811970821907318
Final Energy Demand [TWh],Industry,Thies,Power,2045,1.1339873907101832
Final Energy Demand [TWh],Industry,Thies,Power,2050,1.811037086026864
Final Energy Demand [TWh],Industry,Thies,Gas_Bio,2025,0.00010062380774904796
Final Energy Demand [TWh],Industry,Thies,Gas_Bio,2030,0.06459252988147526
Final Energy Demand [TWh],Industry,LS,Oil,2022,0.31368201795555617
Final Energy Demand [TWh],Industry,LS,Oil,2025,0.3126257871722218
Final Energy Demand [TWh],Industry,LS,Oil,2030,0.01413001887185314
Final Energy Demand [TWh],Industry,LS,Oil,2035,0.006101962091259213
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2025,0.0005538199365491262
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2030,0.1721656607466459
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2035,0.46223416548774826
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2040,0.7689600417975548
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2045,1.1297707062582474
Final Energy Demand [TWh],Industry,LS,Gas_Natural,2050,1.659559066076643
Final Energy Demand [TWh],Industry,LS,Hardcoal,2022,0.1851851851388888
Final Energy Demand [TWh],Industry,LS,Hardcoal,2025,0.2822799283169982
Final Energy Demand [TWh],Industry,LS,Hardcoal,2030,0.21421835094250935
Final Energy Demand [TWh],Industry,LS,Hardcoal,2035,0.15255692209814284
Final Energy Demand [TWh],Industry,LS,Hardcoal,2040,0.09135370168320815
Final Energy Demand [TWh],Industry,LS,Hardcoal,2045,0.09669721959916873
Final Energy Demand [TWh],Industry,LS,Hardcoal,2050,0.10233723588240135
Final Energy Demand [TWh],Industry,LS,Biomass,2022,0.2579813976388888
