Timestep,a_0,b
81,-257.028294400779032,447133235.50774198771
81,-212.11448058370615399,450200250.46644604206
81,-202.65015618888978111,450282879.9869761467
81,-213.47652120245126639,450718357.26667654514
81,-198.36764992119222484,450672447.66286486387
82,0,420623417.18158042431
82,-244.2964801812462099,427364324.03581184149
82,-151.06119422754125026,429919803.31596022844
82,-120.46573042874901205,429738336.49591273069
82,-159.73417673378497739,430489057.25036793947
82,-159.08911061179750845,430496415.66479295492
83,0,403188404.50636577606
83,-261.05251394932071207,411522750.14329785109
83,-126.03633674201093129,412713056.27437740564
83,-111.04221142292857394,412351192.28008723259
83,-126.47357900050309354,413279167.72771692276
83,-125.62830517513418727,413276314.84418910742
84,0,385580643.68422269821
84,-261.71274907128287168,398828597.04508495331
84,-126.03633674201093129,396977452.26212751865
84,-106.43756675830367442,396068987.38053888083
84,-126.47357900050305091,397553223.80263328552
84,-123.09248369902744003,397414186.75404089689
85,0,367855347.03376060724
85,-261.91814408177418727,387789511.98824679852
85,-126.03633674201093129,382000654.69473952055
85,-95.115937794162462637,379556600.37134987116
85,-131.69451296758035141,382974367.12381589413
85,-123.91725418706462847,382379072.17423820496
86,0,349630196.35845315456
86,-261.91814408177418727,377441417.80278128386
86,-116.84834965994035372,366130183.78291368484
86,-108.70392890761425519,365445256.28603130579
86,-145.33401974303214388,369634689.19706320763
86,-120.64899411801482643,366920493.03620177507
87,0,328507026.12876081467
87,-261.91814408177418727,363150398.54558807611
87,-116.84834965994031108,347869640.42373359203
87,-124.80111637399137692,349183319.30137830973
87,-157.65376176445658984,353567066.65975928307
87,-145.15314711314223928,352020964.6649171114
88,0,307275829.82017594576
88,-261.91814408177418727,350052517.15205407143
88,-114.51542548695924495,329337925.54624050856
88,-177.84890396329123519,339443871.52509218454
88,-188.25279797060400711,340983208.05644851923
88,-173.52345275887503817,338848785.54221320152
89,0,285856166.33447170258
89,-261.91814408177418727,334938073.63905626535
89,-130.87477198509631648,313429768.08711671829
89,-193.50694795602288423,324598146.92080920935
89,-186.48093786425590679,323446540.85979920626
89,-172.70471709771965152,321106136.01957154274
90,0,264637012.76257479191
90,-261.91814408177418727,317585627.63821583986
90,-132.24058086279868007,294203332.5132843852
90,-192.72344618788429216,305800831.1723074913
90,-155.31095936037013416,298784278.17555814981
90,-133.43924041486221199,294494094.64835268259
91,0,242948880.30337420106
91,-261.91814408177418727,297655754.99481773376
91,-132.24058086279868007,273224648.59955871105
91,-187.13329595901481639,284201156.47715950012
91,-130.56025311697985103,272898924.90337556601
91,-106.26313410523242453,267682617.48298680782
92,0,221194764.41695913672
92,-261.91814408177418727,275665852.14301347733
92,-132.24058086279868007,251189808.68756940961
92,-180.25316749376835901,260833605.62233453989
92,-68.266685891775168216,237224025.44538474083
92,-36.470907596856612543,229965283.74004006386
93,0,199750686.43412858248
93,-261.91814408177418727,252791042.74807792902
