Period,Scenario,LoadLevel,Aggreko_Boutoute,Boutoute,Centrale_C_Cap_CTag,Contour_Global,Dakar_CCGT_25,Dakar_OCGT_25,Diesel_Bel_Air,FKK_PV_25,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,LS_PV_2029,Malicounda_Power,Manantali,Secondary_Plants
2030,sc01,01-08 09:00:00+01:00,,,,,,,95.29343817474476,0.0,,161.41434249,,0.0,,200.0,
2030,sc01,01-08 11:00:00+01:00,4.667237928626248,0.9596023925628108,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,,200.0,3.8856166275795783
2030,sc01,01-08 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,54.131156995640275,200.0,13.176499999999997
2030,sc01,01-08 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,47.991231510223166,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-08 17:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,24.96985474706849,200.0,13.176499999999997
2030,sc01,01-08 19:00:00+01:00,,,5.537508817455475,,,,161.28979444999996,0.0,17.877214342,134.91097642145866,,0.0,,200.0,
2030,sc01,01-08 21:00:00+01:00,,,22.61447531673072,38.217981243,,,159.7137877748651,,17.877214342,161.41434249,,,,200.0,
2030,sc01,01-08 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,17.205581227167837,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-09 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,176.26783804358965,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-09 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,23.33544209767824,207.76500000000001,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-09 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,95.08595509965717,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-09 07:00:00+01:00,,,51.98564165016469,38.217981243,,,161.28979444999996,,17.877214342,155.73603230362488,,,,200.0,
2030,sc01,01-09 09:00:00+01:00,,,9.006956305900385,38.217981243,,,161.28979444999996,0.0,17.877214342,137.9758628518812,,0.0,,200.0,
2030,sc01,01-09 11:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,42.79857033395538,200.0,13.176499999999997
2030,sc01,01-09 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,104.42575731112133,200.0,13.176499999999997
2030,sc01,01-09 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,87.31895699396182,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-09 17:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,52.25684498772696,200.0,13.176499999999997
2030,sc01,01-09 19:00:00+01:00,,,29.286211522678894,,,,161.28979444999996,0.0,17.877214342,134.56895295142397,,0.0,,200.0,
2030,sc01,01-09 21:00:00+01:00,,,56.187097336944355,38.217981243,,,161.28979444999996,,17.877214342,159.35451751555203,,,,200.0,
2030,sc01,01-09 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,27.201631859505166,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-10 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,162.18406800693694,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-10 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,199.58937464235362,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-10 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,73.32678880274113,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-10 07:00:00+01:00,,,107.84750436,,,,155.503651124738,,7.269870791460579,161.41434249,,,,200.0,
2030,sc01,01-10 09:00:00+01:00,,,39.03199117790887,38.217981243,,,161.28979444999996,0.0,17.877214342,137.5157475527525,,0.0,,200.0,
2030,sc01,01-10 11:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,103.00034756866138,200.0,13.176499999999997
2030,sc01,01-10 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,35.017261168863584,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-10 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,86.78643055943746,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-10 17:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,11.651744790485127,200.0,13.176499999999997
2030,sc01,01-10 19:00:00+01:00,,,,,,,112.69765562314475,0.0,,161.41434249,,0.0,,200.0,
2030,sc01,01-10 21:00:00+01:00,,,,34.21853878727749,,,161.28979444999996,,17.877214342,160.2221017675605,,,,200.0,
2030,sc01,01-10 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,101.59915976303019,200.0,13.176499999999997
2030,sc01,01-11 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,140.73868647162638,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-11 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,182.42305762868273,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-11 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,56.273109791597165,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-11 07:00:00+01:00,,,33.63414139667033,38.217981243,,,155.8786303668816,,17.877214342,161.41434249,,,,200.0,
2030,sc01,01-11 09:00:00+01:00,,,1.763111785806168,38.217981243,,,161.28979444999996,0.0,17.877214342,138.08448405197913,,0.0,,200.0,
2030,sc01,01-11 11:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,26.97727346893658,200.0,13.176499999999997
2030,sc01,01-11 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,70.599438617902,200.0,13.176499999999997
