Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,LS,Power,2025,0.06462750014384679
Final Energy Demand [TWh],Industry,LS,Power,2030,0.251998516050189
Final Energy Demand [TWh],Industry,LS,Power,2035,0.25920059858870664
Final Energy Demand [TWh],Industry,LS,Power,2040,0.39843669504406326
Final Energy Demand [TWh],Industry,LS,Power,2045,0.6030746249246589
Final Energy Demand [TWh],Industry,LS,Power,2050,1.66627950675251
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2030,0.0800000000000002
Final Energy Demand [TWh],Industry,LS,Gas_Bio,2050,1.4447930949326535
Final Energy Demand [TWh],Industry,FKK,H2,2035,0.09287681151803114
Final Energy Demand [TWh],Industry,FKK,H2,2040,0.23106957373885081
Final Energy Demand [TWh],Industry,FKK,H2,2045,0.4302933232045126
Final Energy Demand [TWh],Industry,FKK,H2,2050,0.49714884668381853
Final Energy Demand [TWh],Industry,FKK,Gas_Synth,2035,0.04020894373943592
Final Energy Demand [TWh],Industry,FKK,Gas_Synth,2040,0.016558249851569288
Final Energy Demand [TWh],Industry,FKK,Gas_Synth,2050,0.004419871993911768
Final Energy Demand [TWh],Industry,FKK,Oil,2022,0.2829452968222221
Final Energy Demand [TWh],Industry,FKK,Oil,2025,0.28202306654999965
Final Energy Demand [TWh],Industry,FKK,Oil,2030,0.0030793964248414536
Final Energy Demand [TWh],Industry,FKK,Oil,2035,0.0065975994262866405
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2030,0.21257817543198862
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2035,0.33273760572752653
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2040,1.2879131162124713
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2045,0.8794018477849407
Final Energy Demand [TWh],Industry,FKK,Gas_Natural,2050,0.08012957129553812
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2022,0.19210419205555512
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2025,0.38127063649022913
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2030,0.4573864954612292
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2035,0.7672625089417556
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2040,0.12334629306103077
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2045,0.12606084077444016
Final Energy Demand [TWh],Industry,FKK,Hardcoal,2050,0.018094556868720916
Final Energy Demand [TWh],Industry,FKK,Biomass,2022,0.38697209645833364
Final Energy Demand [TWh],Industry,FKK,Biomass,2025,0.457627906751184
Final Energy Demand [TWh],Industry,FKK,Biomass,2030,0.46797921262690517
Final Energy Demand [TWh],Industry,FKK,Biomass,2035,0.7127880553207737
Final Energy Demand [TWh],Industry,FKK,Biomass,2040,1.0488888888888894
Final Energy Demand [TWh],Industry,FKK,Biomass,2045,2.6753033755359428
Final Energy Demand [TWh],Industry,FKK,Biomass,2050,3.898597891699487
Final Energy Demand [TWh],Industry,FKK,Power,2025,0.04829611774988944
Final Energy Demand [TWh],Industry,FKK,Power,2030,0.2446040042538913
Final Energy Demand [TWh],Industry,FKK,Power,2035,0.2516270818217071
Final Energy Demand [TWh],Industry,FKK,Power,2040,0.27588516960600523
Final Energy Demand [TWh],Industry,FKK,Power,2045,0.40037718451569504
Final Energy Demand [TWh],Industry,FKK,Power,2050,1.1774691469249483
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2030,0.11000000000000021
