Region,Sector,Technology,Type,PathwayScenario,Year,Value
MTKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2040,0.011810525091462534
MTKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2022,0.2293320962180935
MTKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2025,0.24855780356962381
MTKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2030,0.20986553992085633
MTKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2035,0.2194138542992084
MTKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2040,0.1502133467339087
MTKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2045,0.054675400018782565
Diourbel,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2030,1.1146935369119265e-5
LS,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2030,0.00044835787586745157
Dakar,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2035,0.0005640548640358831
Diourbel,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2035,0.0008917412768379327
LS,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2035,0.0006772301129683862
Dakar,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2040,0.0032978776251409783
Diourbel,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2040,0.0009501748213909495
LS,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2040,0.0007650815359141711
FKK,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2040,0.0005861386425436659
Dakar,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2045,0.00606131499735564
Diourbel,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2045,0.0009501748213909495
LS,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2045,0.002512339572747922
FKK,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2045,0.0009001478984019339
Dakar,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2050,0.030411212688008664
Diourbel,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2050,0.004004755184338937
Thies,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2050,0.0020115764434379944
LS,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2050,0.007775825531202632
FKK,Storages,D_Battery_Li-Ion,PeakCapacity,NZ_NZ,2050,0.0009001478984019339
Dakar,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2035,0.0151588258773262
Dakar,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2040,0.015270587628871143
Dakar,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2045,0.16939207973471618
Dakar,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2050,0.158573702971268
Dakar,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2035,0.06768658368430597
Dakar,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2040,0.32805873133261143
Dakar,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2045,0.3316124846657594
Dakar,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2050,3.4750149866917104
Diourbel,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2035,0.022247088930720894
Diourbel,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2045,0.08656162459383648
Diourbel,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2050,0.2433991023560431
Diourbel,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2030,0.0013376322442943118
Diourbel,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2035,0.10567132097625762
Diourbel,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2040,0.007012025346362014
Diourbel,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2050,0.9365429259332912
Thies,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2035,0.009545680168601887
Thies,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2040,0.017990231713978774
Thies,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2045,0.14932382716432185
Thies,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2050,0.39585776919003846
Thies,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2050,0.24138917321255937
LS,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2035,0.011820095558317988
LS,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2045,0.062457574296249874
LS,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2050,0.05335236841680881
LS,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2030,0.05380294510409419
LS,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2035,0.027464668452112144
LS,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2040,0.010542170753494215
LS,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2045,0.20967096442005007
LS,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2050,0.6854212601186596
FKK,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2035,0.0005897487495290002
FKK,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2040,0.00018254549479210182
FKK,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2045,0.08472492096087672
FKK,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2050,0.0402867467402932
FKK,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2040,0.07033663710523991
FKK,Storages,D_Battery_Li-Ion,NewCapacity,NZ_NZ,2045,0.037681110702992154
ZS,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2035,0.005821066208483389
ZS,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2045,0.015024015740184232
ZS,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2050,0.021256572463879953
MTKK,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2035,0.020177417908774118
MTKK,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2040,0.003989215241682324
MTKK,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2045,0.04669742504736479
MTKK,Storages,D_Gas_H2,NewCapacity,NZ_NZ,2050,0.04202096648089469
Dakar,Storages,D_Gas_H2,TotalCapacity,NZ_NZ,2035,0.0151588258773262
Dakar,Storages,D_Gas_H2,TotalCapacity,NZ_NZ,2040,0.030429413506197343
Dakar,Storages,D_Gas_H2,TotalCapacity,NZ_NZ,2045,0.19982149324091353
Dakar,Storages,D_Gas_H2,TotalCapacity,NZ_NZ,2050,0.3583951962121815
Dakar,Storages,D_Battery_Li-Ion,TotalCapacity,NZ_NZ,2035,0.06768658368430597
Dakar,Storages,D_Battery_Li-Ion,TotalCapacity,NZ_NZ,2040,0.3957453150169174
Dakar,Storages,D_Battery_Li-Ion,TotalCapacity,NZ_NZ,2045,0.7273577996826768
Dakar,Storages,D_Battery_Li-Ion,TotalCapacity,NZ_NZ,2050,4.202372786374387
Diourbel,Storages,D_Gas_H2,TotalCapacity,NZ_NZ,2035,0.022247088930720894
Diourbel,Storages,D_Gas_H2,TotalCapacity,NZ_NZ,2040,0.022247088930720894
Diourbel,Storages,D_Gas_H2,TotalCapacity,NZ_NZ,2045,0.10880871352455737
Diourbel,Storages,D_Gas_H2,TotalCapacity,NZ_NZ,2050,0.35220781588060046
