Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Dakar,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2040,0.041914823153988916
Dakar,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2045,0.04627715459569265
Dakar,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2022,0.8892740637853587
Dakar,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2025,0.8985209744092112
Dakar,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2030,0.8616661623887097
Dakar,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2035,0.7063607565488697
Dakar,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2040,0.26544298288529594
Dakar,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2045,0.08808607157190154
Diourbel,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2022,0.0012955321949961846
Diourbel,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2025,0.00042906577724133955
Diourbel,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2030,0.000440667823147731
Diourbel,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2035,0.00010074521334285827
Diourbel,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2040,3.069381406590342e-5
Diourbel,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2045,1.9295607373619502e-5
Diourbel,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2022,0.09798320329751561
Diourbel,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2025,0.09281362140008736
Diourbel,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2030,0.1225619625076439
Diourbel,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2035,0.11276734586127023
Diourbel,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2040,0.14488265561959507
Diourbel,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2045,0.09455074534814696
Diourbel,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2025,0.0005172476660581401
Diourbel,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2030,0.006560840000000005
Diourbel,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2035,0.013184187494694626
Diourbel,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2040,0.02073508019816576
Diourbel,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2045,0.006332282788926834
Diourbel,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2022,0.20354735262234172
Diourbel,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2025,0.2102520485397558
Diourbel,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2030,0.2052792776510423
Diourbel,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2035,0.21686364392430052
Diourbel,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2040,0.09691956492853922
Diourbel,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2045,0.014191788971786929
Thies,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2025,0.003230225567340599
Thies,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2030,0.0028514415174543924
Thies,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2035,0.002517418690621785
Thies,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2040,0.0022494061165556508
Thies,Transportation,CO2,FRT_Road_PHEV,Emissions,NZ_NZ,2045,0.0023799695263451237
Thies,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2022,0.0012740159522092883
Thies,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2025,0.0004254505669330843
Thies,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2030,0.0005586110317290706
Thies,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2035,0.00011115048371829658
Thies,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2040,4.072971802759579e-5
Thies,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2045,2.170839628161076e-5
Thies,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2022,0.04564226601585979
Thies,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2025,0.03589871078352249
Thies,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2030,0.046358802058774407
Thies,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2035,0.037981662306646354
Thies,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2040,0.045872361678783884
Thies,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2045,0.032857751202300285
Thies,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2030,0.004978998590031838
Thies,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2035,0.006507490355289239
Thies,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2040,0.00850466329718634
Thies,Transportation,CO2,PSNG_Air_Conv,Emissions,NZ_NZ,2045,0.01111576635695202
Thies,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2025,0.0010813527479369147
Thies,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2030,0.004833585342959842
Thies,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2035,0.08959894211264878
Thies,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2040,0.02234452794940775
Thies,Transportation,CO2,PSNG_Rail_Conv,Emissions,NZ_NZ,2045,0.037901491818744394
Thies,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2022,0.37223229355055776
Thies,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2025,0.3825118989237309
Thies,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2030,0.3302800716745244
Thies,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2035,0.07548638343857644
Thies,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2040,0.10984105088025514
Thies,Transportation,CO2,PSNG_Road_ICE,Emissions,NZ_NZ,2045,0.04020883023854151
LS,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2022,0.0010164569868292075
LS,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2025,0.00036029136404378833
LS,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2030,0.00039944450789003726
LS,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2035,0.00010389256055787052
LS,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2040,6.341399284564016e-5
LS,Transportation,CO2,FRT_Rail_Conv,Emissions,NZ_NZ,2045,3.5310411887351157e-5
LS,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2022,0.07283017156274466
LS,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2025,0.06404704461676101
LS,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2030,0.08326811031774883
LS,Transportation,CO2,FRT_Road_ICE,Emissions,NZ_NZ,2035,0.07687391237496961
