Timestep,Hydro|Reservoir_MTKK_0
959,321459.71589954156661
960,321271.63549921271624
961,321143.10322507709498
962,321083.34147827548441
963,321061.30776841379702
964,321068.3380596312345
965,321070.89438432146562
966,321025.4677801267826
967,320975.26078181900084
968,320928.07930917001795
969,320878.17640128120547
970,320890.0960009523551
971,320902.01560062350472
972,320913.93520029465435
973,320925.85479996580398
974,320937.7743996369536
975,320949.69399930810323
976,320961.61359897925286
977,320973.53319865040248
978,320931.47240304201841
979,320743.39200271316804
980,320555.31160238431767
981,320367.23120205546729
982,320179.15080172661692
983,319991.07040139776655
984,319802.55724242830183
985,319642.90863029164029
986,319548.63600868440699
987,319495.02922110137297
988,319465.19277725863503
989,319438.75739677698584
990,319377.55654043628601
991,319296.10983358416706
992,319212.5295864676591
993,319113.40322577476036
994,319060.97572679567384
995,319072.46256782620912
996,319083.94940885674441
997,319095.4362498872797
998,319106.92309091781499
999,319118.40993194835028
1000,319129.89677297888556
1001,319138.95714474190027
1002,319048.69087503571063
1003,318860.17771606624592
1004,318671.66455709678121
1005,318483.1513981273165
1006,318294.63823915785179
1007,318106.12508018838707
1008,317917.04967672383646
1009,317727.97427325928584
1010,317571.36417812336003
1011,317483.36667799821589
1012,317423.54742277611513
1013,317374.18499174661702
1014,317310.81011723406846
1015,317226.82001932599815
1016,317099.75201249081874
1017,316979.35921278828755
1018,316940.74610967753688
1019,316942.95862402050989
1020,316953.88322055595927
1021,316964.80781709140865
1022,316975.73241362685803
1023,316986.65701016230742
1024,316997.5816066977568
1025,317008.50620323320618
1026,316955.14925630117068
1027,316766.07385283662006
1028,316576.99844937206944
1029,316387.92304590751883
1030,316198.84764244296821
1031,316009.77223897841759
1032,315820.01873306557536
1033,315700.40685074258363
1034,315658.36340536386706
1035,315668.60989945102483
1036,315678.8563935381826
1037,315689.10288762534037
1038,315699.34938171249814
1039,315695.76263551431475
1040,315702.72216469678096
1041,315696.74174299038714
1042,315706.98823707754491
1043,315717.23473116470268
1044,315727.48122525186045
1045,315737.72771933901822
1046,315747.97421342617599
1047,315758.22070751333376
1048,315768.46720160049153
1049,315778.71369568764931
1050,315784.40121074329363
1051,315607.95942030096194
1052,315418.20591438811971
1053,315228.45240847527748
1054,315038.69890256243525
1055,314848.94539664959302
1056,314689.97768653178355
1057,314612.88735493138665
1058,314622.61590170039563
1059,314632.3444484694046
1060,314642.07299523841357
1061,314651.80154200742254
1062,314661.53008877643151
1063,314671.25863554544048
1064,314680.98718231444946
1065,314690.71572908345843
1066,314700.4442758524674
1067,314710.17282262147637
1068,314719.90136939048534
1069,314729.62991615949431
1070,314739.35846292850329
1071,314749.08700969751226
1072,314758.81555646652123
1073,314768.5441032355302
1074,314778.27265000453917
1075,314681.52053365728352
1076,314523.49197828746401
1077,314370.23709648736985
